# Number of Images
16
# Filename  1/shutter_speed f/stop gain(db) ND_filters
IMG_0210    1/1000  0
IMG_0212    1/640   8 0 0
IMG_0214    1/400   8 0 0
IMG_0216    1/250   8 0 0
IMG_0218    1/160   8 0 0
IMG_0220    1/100   8 0 0
IMG_0221    1/80    8 0 0
IMG_0222    1/60    8 0 0
IMG_0224    1/40    8 0 0
IMG_0226    1/25    8 0 0
IMG_0228    1/15    8 0 0
IMG_0230    1/10    8 0 0
IMG_0232    1/6     8 0 0
IMG_0234    1/4     8 0 0
IMG_0236    0.4     8 0 0
IMG_0238    0.6     8 0 0
